Created 2 time series samples from dataset path ../datasets/leaf-mono-v2/.
Epoch [1/10000], Loss: 0.85130864
Epoch [2/10000], Loss: 0.88592470
Epoch [3/10000], Loss: 1.01125729
Epoch [4/10000], Loss: 0.91607130
Epoch [5/10000], Loss: 0.86002791
Epoch [6/10000], Loss: 0.86115122
Epoch [7/10000], Loss: 0.86163145
Epoch [8/10000], Loss: 0.85456181
Epoch [9/10000], Loss: 0.85470665
Epoch [10/10000], Loss: 0.85322821
Epoch [11/10000], Loss: 0.85276949
Epoch [12/10000], Loss: 0.85156333
Epoch [13/10000], Loss: 0.85134447
Epoch [14/10000], Loss: 0.85023767
Epoch [15/10000], Loss: 0.84990907
Epoch [16/10000], Loss: 0.84857929
Epoch [17/10000], Loss: 0.84720170
Epoch [18/10000], Loss: 0.84513593
Epoch [19/10000], Loss: 0.84114265
Epoch [20/10000], Loss: 0.83858502
Epoch [21/10000], Loss: 0.83455479
Epoch [22/10000], Loss: 0.82973051
Epoch [23/10000], Loss: 0.82305461
Epoch [24/10000], Loss: 0.80598742
Epoch [25/10000], Loss: 0.80186015
Epoch [26/10000], Loss: 0.78577751
Epoch [27/10000], Loss: 0.78467900
Epoch [28/10000], Loss: 0.78997213
Epoch [29/10000], Loss: 0.77993739
Epoch [30/10000], Loss: 0.77132809
Epoch [31/10000], Loss: 0.74998164
Epoch [32/10000], Loss: 0.73973173
Epoch [33/10000], Loss: 0.70893359
Epoch [34/10000], Loss: 0.67788392
Epoch [35/10000], Loss: 0.64016169
Epoch [36/10000], Loss: 0.64105773
Epoch [37/10000], Loss: 0.66101283
Epoch [38/10000], Loss: 0.64552200
Epoch [39/10000], Loss: 0.63815725
Epoch [40/10000], Loss: 0.61902511
Epoch [41/10000], Loss: 0.60488093
Epoch [42/10000], Loss: 0.57136393
Epoch [43/10000], Loss: 0.56299311
Epoch [44/10000], Loss: 0.61131424
Epoch [45/10000], Loss: 0.63261962
Epoch [46/10000], Loss: 0.57255626
Epoch [47/10000], Loss: 0.55545491
Epoch [48/10000], Loss: 0.58996570
Epoch [49/10000], Loss: 0.55453610
Epoch [50/10000], Loss: 0.53575289
Epoch [51/10000], Loss: 0.54762715
Epoch [52/10000], Loss: 0.54579502
Epoch [53/10000], Loss: 0.56649095
Epoch [54/10000], Loss: 0.56741303
Epoch [55/10000], Loss: 0.57258916
Epoch [56/10000], Loss: 0.54144824
Epoch [57/10000], Loss: 0.54031712
Epoch [58/10000], Loss: 0.55055487
Epoch [59/10000], Loss: 0.52550131
Epoch [60/10000], Loss: 0.52646637
Epoch [61/10000], Loss: 0.50887191
Epoch [62/10000], Loss: 0.52109683
Epoch [63/10000], Loss: 0.50725794
Epoch [64/10000], Loss: 0.52791429
Epoch [65/10000], Loss: 0.51647806
Epoch [66/10000], Loss: 0.51239097
Epoch [67/10000], Loss: 0.50517160
Epoch [68/10000], Loss: 0.50469345
Epoch [69/10000], Loss: 0.49713302
Epoch [70/10000], Loss: 0.50287610
Epoch [71/10000], Loss: 0.49296927
Epoch [72/10000], Loss: 0.49047846
Epoch [73/10000], Loss: 0.48314276
Epoch [74/10000], Loss: 0.48911223
Epoch [75/10000], Loss: 0.48000336
Epoch [76/10000], Loss: 0.48700729
Epoch [77/10000], Loss: 0.48312187
Epoch [78/10000], Loss: 0.47899997
Epoch [79/10000], Loss: 0.48659125
Epoch [80/10000], Loss: 0.49073160
Epoch [81/10000], Loss: 0.49138921
Epoch [82/10000], Loss: 0.50560933
Epoch [83/10000], Loss: 0.54401052
Epoch [84/10000], Loss: 0.49012178
Epoch [85/10000], Loss: 0.50309253
Epoch [86/10000], Loss: 0.51412165
Epoch [87/10000], Loss: 0.48523232
Epoch [88/10000], Loss: 0.48088396
Epoch [89/10000], Loss: 0.47238103
Epoch [90/10000], Loss: 0.46934304
Epoch [91/10000], Loss: 0.48285994
Epoch [92/10000], Loss: 0.46997824
Epoch [93/10000], Loss: 0.46362704
Epoch [94/10000], Loss: 0.46857965
Epoch [95/10000], Loss: 0.47450566
Epoch [96/10000], Loss: 0.44858053
Epoch [97/10000], Loss: 0.46245581
Epoch [98/10000], Loss: 0.45925921
Epoch [99/10000], Loss: 0.45799619
Epoch [100/10000], Loss: 0.46829459
Epoch [101/10000], Loss: 0.46966895
Epoch [102/10000], Loss: 0.46156618
Epoch [103/10000], Loss: 0.46563745
Epoch [104/10000], Loss: 0.48042366
Epoch [105/10000], Loss: 0.45736748
Epoch [106/10000], Loss: 0.45478123
Epoch [107/10000], Loss: 0.46558821
Epoch [108/10000], Loss: 0.44525126
Epoch [109/10000], Loss: 0.47030342
Epoch [110/10000], Loss: 0.44660211
Epoch [111/10000], Loss: 0.44375283
Epoch [112/10000], Loss: 0.43060386
Epoch [113/10000], Loss: 0.42830664
Epoch [114/10000], Loss: 0.42405298
Epoch [115/10000], Loss: 0.44492152
Epoch [116/10000], Loss: 0.42578536
Epoch [117/10000], Loss: 0.43233034
Epoch [118/10000], Loss: 0.43517697
Epoch [119/10000], Loss: 0.43173692
Epoch [120/10000], Loss: 0.42823267
Epoch [121/10000], Loss: 0.40858984
Epoch [122/10000], Loss: 0.41650525
Epoch [123/10000], Loss: 0.43270466
Epoch [124/10000], Loss: 0.41292459
Epoch [125/10000], Loss: 0.46706313
Epoch [126/10000], Loss: 0.45210537
Epoch [127/10000], Loss: 0.41996548
Epoch [128/10000], Loss: 0.43174294
Epoch [129/10000], Loss: 0.43526936
Epoch [130/10000], Loss: 0.44509009
Epoch [131/10000], Loss: 0.43636602
