Created 2 time series samples from dataset path ../datasets/leaf-mono-small/.
Epoch [1/10000], Loss:  0.45173335
Epoch [2/10000], Loss:  0.46080837
Epoch [3/10000], Loss:  0.44552290
Epoch [4/10000], Loss:  0.44451725
Epoch [5/10000], Loss:  0.41449484
Epoch [6/10000], Loss:  0.42611396
Epoch [7/10000], Loss:  0.38846695
Epoch [8/10000], Loss:  0.35743344
Epoch [9/10000], Loss:  0.32112443
Epoch [10/10000], Loss:  0.29720372
Epoch [11/10000], Loss:  0.27078789
Epoch [12/10000], Loss:  0.25675923
Epoch [13/10000], Loss:  0.25872618
Epoch [14/10000], Loss:  0.25301519
Epoch [15/10000], Loss:  0.26369739
Epoch [16/10000], Loss:  0.25971660
Epoch [17/10000], Loss:  0.25508675
Epoch [18/10000], Loss:  0.24670178
Epoch [19/10000], Loss:  0.24886790
Epoch [20/10000], Loss:  0.24811497
Epoch [21/10000], Loss:  0.24344972
Epoch [22/10000], Loss:  0.24145710
Epoch [23/10000], Loss:  0.24503180
Epoch [24/10000], Loss:  0.24227189
Epoch [25/10000], Loss:  0.24594977
Epoch [26/10000], Loss:  0.23901096
Epoch [27/10000], Loss:  0.24352783
Epoch [28/10000], Loss:  0.23669884
Epoch [29/10000], Loss:  0.23404764
Epoch [30/10000], Loss:  0.23569146
Epoch [31/10000], Loss:  0.23532951
Epoch [32/10000], Loss:  0.23696628
Epoch [33/10000], Loss:  0.23851012
Epoch [34/10000], Loss:  0.23834318
Epoch [35/10000], Loss:  0.23523590
Epoch [36/10000], Loss:  0.23736143
Epoch [37/10000], Loss:  0.24295874
Epoch [38/10000], Loss:  0.23909198
Epoch [39/10000], Loss:  0.23512468
Epoch [40/10000], Loss:  0.24123433
Epoch [41/10000], Loss:  0.23799445
Epoch [42/10000], Loss:  0.23814909
Epoch [43/10000], Loss:  0.23674685
Epoch [44/10000], Loss:  0.24019819
Epoch [45/10000], Loss:  0.23486385
Epoch [46/10000], Loss:  0.23080978
Epoch [47/10000], Loss:  0.23144801
Epoch [48/10000], Loss:  0.23077263
Epoch [49/10000], Loss:  0.23740207
Epoch [50/10000], Loss:  0.23914447
Epoch [51/10000], Loss:  0.23973005
Epoch [52/10000], Loss:  0.24141890
Epoch [53/10000], Loss:  0.23830695
Epoch [54/10000], Loss:  0.24016143
Epoch [55/10000], Loss:  0.23846298
Epoch [56/10000], Loss:  0.23435640
Epoch [57/10000], Loss:  0.23727340
Epoch [58/10000], Loss:  0.23474994
Epoch [59/10000], Loss:  0.23503345
Epoch [60/10000], Loss:  0.25559822
Epoch [61/10000], Loss:  0.23578820
Epoch [62/10000], Loss:  0.23630083
Epoch [63/10000], Loss:  0.23760299
Epoch [64/10000], Loss:  0.23548745
Epoch [65/10000], Loss:  0.23699656
Epoch [66/10000], Loss:  0.23959237
Epoch [67/10000], Loss:  0.24366714
Epoch [68/10000], Loss:  0.24075221
Epoch [69/10000], Loss:  0.23537311
Epoch [70/10000], Loss:  0.23449713
Epoch [71/10000], Loss:  0.23761550
Epoch [72/10000], Loss:  0.23811111
Epoch [73/10000], Loss:  0.23405199
Epoch [74/10000], Loss:  0.33294287
Epoch [75/10000], Loss:  0.25416708
Epoch [76/10000], Loss:  0.25508708
Epoch [77/10000], Loss:  0.24809319
Epoch [78/10000], Loss:  0.24493590
Epoch [79/10000], Loss:  0.24550280
Epoch [80/10000], Loss:  0.24258596
Epoch [81/10000], Loss:  0.24264662
Epoch [82/10000], Loss:  0.24776526
Epoch [83/10000], Loss:  0.23759772
Epoch [84/10000], Loss:  0.23999864
Epoch [85/10000], Loss:  0.24560061
Epoch [86/10000], Loss:  0.24283433
Epoch [87/10000], Loss:  0.23092337
Epoch [88/10000], Loss:  0.22334181
Epoch [89/10000], Loss:  0.22786771
Epoch [90/10000], Loss:  0.23925623
Epoch [91/10000], Loss:  0.25001931
Epoch [92/10000], Loss:  0.26372749
Epoch [93/10000], Loss:  0.25273734
Epoch [94/10000], Loss:  0.24366739
Epoch [95/10000], Loss:  0.23484066
Epoch [96/10000], Loss:  0.23515162
Epoch [97/10000], Loss:  0.23281340
Epoch [98/10000], Loss:  0.23082152
Epoch [99/10000], Loss:  0.23095748
Epoch [100/10000], Loss:  0.22322376
Epoch [101/10000], Loss:  0.22582576
Epoch [102/10000], Loss:  0.22142491
Epoch [103/10000], Loss:  0.22135407
Epoch [104/10000], Loss:  0.23701254
Epoch [105/10000], Loss:  0.24143329
Epoch [106/10000], Loss:  0.23107263
Epoch [107/10000], Loss:  0.23441598
Epoch [108/10000], Loss:  0.25654840
Epoch [109/10000], Loss:  0.24191880
Epoch [110/10000], Loss:  0.24696094
Epoch [111/10000], Loss:  0.23866026
Epoch [112/10000], Loss:  0.23384337
Epoch [113/10000], Loss:  0.22262447
Epoch [114/10000], Loss:  0.22111595
Epoch [115/10000], Loss:  0.22864769
Epoch [116/10000], Loss:  0.21837586
Epoch [117/10000], Loss:  0.21799165
Epoch [118/10000], Loss:  0.23119511
Epoch [119/10000], Loss:  0.21506521
Epoch [120/10000], Loss:  0.20733006
Epoch [121/10000], Loss:  0.20807017
Epoch [122/10000], Loss:  0.20737097
Epoch [123/10000], Loss:  0.22377704
Epoch [124/10000], Loss:  0.21643689
Epoch [125/10000], Loss:  0.22632436
Epoch [126/10000], Loss:  0.22461194
Epoch [127/10000], Loss:  0.20728752
Epoch [128/10000], Loss:  0.29683852
Epoch [129/10000], Loss:  0.24759282
Epoch [130/10000], Loss:  0.20631169
Epoch [131/10000], Loss:  0.21393329
